congress,chamber,rollnumber,icpsr,cast_code,prob
116,Senate,1,14226,1,97.3
116,Senate,1,14307,6,98.0
116,Senate,1,14435,6,99.9
116,Senate,1,14852,1,97.9
116,Senate,1,14858,6,99.1
116,Senate,1,14871,6,98.8
116,Senate,1,14921,6,1.5
116,Senate,1,15015,6,85.0
116,Senate,1,15021,6,98.8
116,Senate,1,15408,6,97.5
116,Senate,1,15424,1,99.2
116,Senate,1,20101,1,99.5
116,Senate,1,20146,1,97.1
116,Senate,1,20330,6,98.9
116,Senate,1,20351,1,99.4
116,Senate,1,20707,6,94.9
116,Senate,1,20713,6,99.7
116,Senate,1,20735,6,99.8
116,Senate,1,20919,1,98.2
116,Senate,1,20923,6,92.6
116,Senate,1,20930,6,94.9
116,Senate,1,21112,1,98.7
116,Senate,1,21133,1,98.9
116,Senate,1,21166,1,99.5
116,Senate,1,21173,1,99.0
116,Senate,1,21300,1,48.1
116,Senate,1,21301,1,99.3
116,Senate,1,21325,6,93.3
116,Senate,1,21338,1,98.5
116,Senate,1,21350,1,99.6
116,Senate,1,21501,1,98.2
116,Senate,1,21743,6,78.2
116,Senate,1,29142,6,98.7
116,Senate,1,29147,6,99.9
116,Senate,1,29345,1,99.7
116,Senate,1,29373,1,2.0
116,Senate,1,29386,1,95.4
116,Senate,1,29389,6,99.2
116,Senate,1,29534,1,99.7
116,Senate,1,29548,1,98.5
116,Senate,1,29566,1,97.0
116,Senate,1,29722,1,99.5
116,Senate,1,29732,6,95.8
116,Senate,1,29735,1,99.6
116,Senate,1,29754,1,99.2
116,Senate,1,29909,1,98.4
116,Senate,1,29924,6,98.2
116,Senate,1,29935,1,97.0
116,Senate,1,29940,6,99.8
116,Senate,1,39310,6,97.9
116,Senate,1,40300,1,85.5
116,Senate,1,40304,1,95.3
116,Senate,1,40305,1,98.9
116,Senate,1,40700,6,96.5
116,Senate,1,40702,6,74.6
116,Senate,1,40703,6,88.5
116,Senate,1,40704,6,98.1
116,Senate,1,40707,1,99.6
116,Senate,1,40902,1,99.9
116,Senate,1,40906,6,91.3
116,Senate,1,40908,6,99.9
116,Senate,1,40909,6,81.3
116,Senate,1,40910,6,88.4
116,Senate,1,40915,1,84.9
116,Senate,1,40916,6,90.7
116,Senate,1,41101,6,99.1
116,Senate,1,41102,1,97.2
116,Senate,1,41104,1,92.8
116,Senate,1,41107,1,99.6
116,Senate,1,41110,1,93.1
116,Senate,1,41111,1,97.1
116,Senate,1,41112,6,99.3
116,Senate,1,41300,6,81.9
116,Senate,1,41301,6,100.0
116,Senate,1,41302,1,99.7
116,Senate,1,41304,1,95.8
116,Senate,1,41305,6,88.6
116,Senate,1,41308,6,100.0
116,Senate,1,41500,1,99.3
116,Senate,1,41501,1,98.6
116,Senate,1,41502,1,99.0
116,Senate,1,41503,1,96.6
116,Senate,1,41504,1,99.0
116,Senate,1,41505,1,98.9
116,Senate,1,41700,6,90.9
116,Senate,1,41701,6,100.0
116,Senate,1,41702,6,88.5
116,Senate,1,41703,1,99.7
116,Senate,1,41705,1,62.6
116,Senate,1,41706,6,98.5
116,Senate,1,41707,1,99.4
116,Senate,1,41900,1,99.6
116,Senate,1,41901,1,96.6
116,Senate,1,41902,1,99.9
116,Senate,1,41903,1,99.4
116,Senate,1,49300,6,94.3
116,Senate,1,49308,6,98.6
116,Senate,1,49703,1,56.4
116,Senate,1,49706,1,99.5
116,Senate,1,94659,1,99.9
116,Senate,2,14226,1,100.0
116,Senate,2,14307,6,98.8
116,Senate,2,14435,6,100.0
116,Senate,2,14852,1,100.0
116,Senate,2,14858,6,99.9
116,Senate,2,14871,6,99.9
116,Senate,2,14921,1,100.0
116,Senate,2,15015,6,86.6
116,Senate,2,15021,6,99.7
116,Senate,2,15408,6,98.9
116,Senate,2,15424,1,100.0
116,Senate,2,20101,1,100.0
116,Senate,2,20146,1,100.0
116,Senate,2,20330,6,99.5
116,Senate,2,20351,1,100.0
116,Senate,2,20707,6,96.8
116,Senate,2,20713,6,99.8
116,Senate,2,20735,6,100.0
116,Senate,2,20919,1,100.0
116,Senate,2,20923,6,94.9
116,Senate,2,20930,6,95.4
116,Senate,2,21112,1,100.0
116,Senate,2,21133,1,100.0
116,Senate,2,21166,1,100.0
116,Senate,2,21173,1,100.0
116,Senate,2,21300,1,61.9
116,Senate,2,21301,1,100.0
116,Senate,2,21325,6,92.4
